BYHID,BYSID,BYSCLASS,F1H01001,F1H01002,F1H01003,F1H01004,F1H01005,F1H01006,F1H01007,F1H01008,F1H02001,F1H02002,F1H02003,F1H02004,F1H02005C,F1H02006,F1H03001,F1H03002,F1H03003,F1H03004,F1H03005C,F1H03006,F1H04001,F1H04002,F1H04003,F1H04004,F1H04005,F1H05001,F1H05002,F1H05003,F1H06001,F1H06002,F1H06003
31141,3114,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,100,1539,2,2002,2,-5,-5,-5,2,100,0,1500,2,-5,100,0,0,1,2,4
31151,3115,2,2001,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,1,2002,2,-5,-5,-5,2,50,0,0,2,-5,50,0,0,1,4,4
31161,3116,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,2,60,1330,2,120,0,2000,1,1000,50,0,0,1,2,2
31171,3117,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,200,1581,2,2002,2,-5,-5,-5,2,200,30,-6,1,2000,80,-4,-4,1,4,3
31181,3118,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,2,-3,1332,1,-3,0,8000,2,-5,60,0,0,1,1,2
31191,3119,2,3001,2,-5,-5,-5,-5,-5,-5,6001,1,3,300,0154,2,3001,2,-5,-5,-5,2,300,150,5000,2,-5,150,-4,-4,1,2,1
31201,3120,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,125,2322,2,2002,1,4,0,2322,2,125,0,1000,1,5000,150,0,0,2,1,4
31211,3121,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,370,0532,1,2002,1,2,110,0220,2,480,150,4000,1,-3,300,0,0,1,2,3
31221,3122,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,250,2271,2,2002,2,-5,-5,-5,2,250,35,3000,2,-5,100,-4,-4,1,2,3
31231,3123,2,1002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1121,2,1002,2,-5,-5,-5,2,100,0,2500,1,1000,100,0,0,2,1,1
31241,3124,2,2001,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,2,-5,-5,-5,2,0,0,0,2,-5,80,-4,-4,2,1,4
31261,3126,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,120,1551,1,2002,1,1,80,1550,1,200,0,4000,1,1000,200,0,0,1,1,3
31281,3128,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,150,0131,2,2002,1,5,-5,0135,1,150,0,-3,2,-5,150,25,0,1,-3,3
31291,3129,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,250,0152,2,2002,1,5,-5,0152,2,250,30,-6,1,5000,150,20,-4,2,3,4
31301,3130,2,2002,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,1,60,1121,1,60,0,8000,2,-5,150,0,0,1,1,3
31321,3132,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1490,2,2002,2,-5,-5,-5,1,100,0,3500,1,2500,100,30,30,1,1,4
31331,3133,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,-3,1431,2,2002,1,2,60,0722,2,-3,0,200,1,2800,60,0,0,1,3,1
31351,3135,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,120,1835,2,2002,1,2,50,1319,2,170,0,11000,1,1200,150,0,0,1,1,2
31361,3136,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,80,1683,2,2002,2,-5,-5,-5,2,80,5,-6,2,-5,80,0,0,1,4,4
31381,3138,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,4,400,0156,2,400,90,5000,2,-5,310,50,30,1,2,3
31391,3139,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,100,2322,1,2002,1,5,-5,2322,2,100,0,15000,1,4000,100,0,0,1,1,3
31401,3140,2,2001,1,1,2,-5,1,-5,-5,2001,1,4,100,1123,2,2002,1,2,65,2271,2,165,0,8000,2,-5,100,0,0,1,1,2
31411,3141,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1450,2,2002,2,-5,-5,-5,2,100,0,0,1,500,140,0,0,1,4,2
31421,3142,2,2001,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,2,50,1970,2,50,3,2500,2,-5,50,0,0,1,2,3
31431,3143,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,3,-3,0156,2,2002,1,5,-5,0156,2,-3,150,-3,2,-5,200,40,-4,1,1,2
31441,3144,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,3,200,0156,2,200,0,2500,1,2000,150,30,-4,1,1,3
31451,3145,2,3000,2,-5,-5,-5,-5,-5,-5,2001,1,2,-2,1490,2,2002,1,2,-2,1330,2,-2,-2,-2,2,-5,-3,10,-4,1,1,4
