BYSID,father_job,col_major,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,AT_05,GENDER,teacherRel_cate,J007C
5602,1,4,8,6,8,4,5,4,4,2,2,3,2,3,2,1,1,1
5609,1,2,6,8,4,1,6,3,4,2,3,4,3,3,0,2,1,1
5610,5,0,1,6,1,1,6,3,3,2,2,3,2,1,1,1,1,6
5611,1,2,1,3,2,4,1,3,4,2,2,3,3,3,1,1,1,1
5613,2,6,2,1,1,9,5,3,3,1,3,3,2,2,1,2,1,2
5614,3,2,1,2,1,1,4,3,2,1,3,3,3,2,1,1,1,1
5615,3,2,1,8,2,1,4,3,2,1,3,3,3,1,1,1,1,6
5618,1,5,2,6,1,1,6,4,4,1,3,4,4,3,1,2,1,5
5619,3,1,2,5,1,4,7,3,3,1,2,4,3,2,1,1,1,8
5620,0,0,2,8,1,3,1,3,2,1,4,3,2,4,2,2,1,2
5621,2,1,3,1,1,4,6,2,2,2,3,3,3,1,1,1,1,6
5624,2,4,2,9,1,4,6,3,4,2,1,3,1,2,0,1,1,8
5626,1,7,2,1,1,6,9,3,3,1,3,2,3,2,1,2,1,5
5627,4,0,2,6,1,1,3,2,3,1,3,3,3,3,1,2,2,5
5629,3,5,3,1,2,3,5,3,3,2,3,3,3,3,2,1,1,2
5632,4,5,2,1,1,1,3,3,4,2,3,3,2,4,1,2,1,2
5635,4,5,3,2,1,5,1,3,3,1,3,4,1,3,2,2,1,6
5636,1,4,2,1,1,1,3,3,3,1,3,3,2,3,1,2,1,1
5637,1,0,1,9,9,4,6,4,3,1,2,2,4,3,1,2,1,2
5638,4,2,2,9,4,1,4,3,3,1,2,4,3,2,1,1,1,1
5641,1,3,2,1,1,1,3,3,2,1,3,4,2,5,2,1,1,2
5645,1,1,1,2,7,1,3,3,3,2,3,4,3,1,1,1,1,8
5647,4,2,3,1,2,1,6,2,4,2,3,3,1,1,1,1,1,8
5648,2,1,2,9,1,3,4,3,3,1,3,2,3,2,1,2,1,2
5649,1,4,7,10,4,1,4,4,4,2,4,3,3,3,2,1,1,8
5650,5,0,2,1,1,5,4,3,4,1,2,3,2,3,1,1,1,5
5653,4,5,8,1,3,1,6,2,2,2,2,2,2,2,1,2,1,5
5654,1,1,2,6,1,4,8,2,2,1,2,3,3,1,1,1,1,5
5656,1,2,1,2,1,1,3,4,4,1,3,4,3,3,1,1,1,1
5660,1,4,8,1,1,1,4,3,3,2,2,3,3,3,2,1,1,5
5661,0,6,8,9,3,1,5,2,2,2,3,4,3,2,2,2,1,2
5663,1,4,1,8,1,1,4,2,2,2,3,2,1,3,2,1,2,2
5664,4,7,3,1,2,1,6,3,4,1,2,4,2,4,2,1,1,6
5666,1,5,1,3,1,3,4,3,2,2,3,2,3,4,1,1,1,6
5668,3,0,8,1,3,4,1,2,2,1,3,3,3,2,1,1,1,5
5673,1,3,1,9,3,4,3,2,2,1,2,3,3,3,1,1,1,2
5674,5,3,1,2,3,4,3,3,3,1,4,3,2,3,2,1,1,2
5676,1,0,8,3,8,3,1,3,3,1,3,4,3,2,1,1,1,2
5677,4,4,2,1,1,4,1,3,2,1,3,2,2,3,2,1,1,1
5678,4,0,3,1,1,1,4,2,2,2,2,2,2,2,1,1,1,6
5680,3,4,2,1,1,1,4,3,3,1,4,3,3,3,0,2,1,1
5681,4,4,2,8,1,4,1,3,3,2,3,4,2,4,2,1,1,8
5682,1,0,1,3,4,1,6,3,3,2,3,2,2,2,1,1,1,6
5683,4,7,6,2,1,1,4,3,3,2,2,2,3,1,1,2,1,5
5686,3,2,9,8,6,1,3,3,4,1,2,3,3,3,1,1,1,8
5687,4,4,3,1,1,4,1,3,3,2,3,3,2,2,0,1,1,8
5690,4,4,2,6,1,1,4,3,2,1,4,3,3,3,0,1,1,8
5692,0,2,8,1,3,3,1,2,2,2,2,2,2,2,1,2,1,1
5693,4,2,2,6,1,3,2,3,3,1,4,5,4,3,1,2,1,2
5695,1,4,1,2,1,4,3,4,4,1,3,4,4,3,1,1,1,6
5696,5,5,1,8,1,1,5,3,3,1,3,2,2,2,1,2,1,1
5698,1,5,2,1,1,3,5,3,3,1,4,4,3,1,1,2,1,8
5699,4,7,3,1,2,4,1,2,2,2,2,2,1,2,1,2,2,1
5704,4,0,2,3,1,4,8,2,2,1,3,3,2,1,1,1,1,6
