BYSID,Influence_cate,Influence_cate_one,Feeling_cate,consideration_cate,Intuition_cate,Sensing_cate,GENDER,jobselect1st,jobselect2nd,jobSuccess,careerMaturity_cate,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schLecSatisfi_cate,schFacilSatisfi_cate,teacherRel_cate,careerInfo_cate,selfUnderstanding_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,foreignLanguage_cate,physical_cate,faAttention_cate,moAttention_cate,BYS22001,BYS22002,BYS23002,BYS23003,BYS23004,BYS04008,BYS04009,sch_code,AT_05,club,father_job,col_major,h_major,col_major,LN_house_income,house_income_cat,J007C
5219,2,1,1,2,2,1,1,1,1,1,3,3,4,2,3,3,1,3,3,4,2,1,1,5,3,4,1,8,1,4,2,6,3,8,1,0,0,0,4,0,5.37815,3,4
5220,1,0,0,2,0,1,1,1,2,1,3,3,3,1,3,2,1,3,3,4,1,4,1,4,4,4,1,2,1,2,4,4,3,9,2,0,4,0,2,0,5.991464547,4,4
5223,1,0,1,2,1,1,1,1,2,1,4,3,4,1,3,3,1,3,4,3,3,1,2,3,4,3,1,3,1,2,4,4,9,8,1,0,1,0,1,0,5.686975356,3,3
5225,1,0,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1,3,2,2,2,4,4,3,5,5,2,1,1,6,2,3,4,9,2,0,0,4,2,4,5.37815,3,4
5226,1,0,1,1,1,1,2,1,2,1,3,3,3,2,3,3,1,3,3,3,2,4,3,2,4,4,2,1,1,3,2,6,1,9,2,9,1,5,2,5,5.978885765,4,1
5233,2,1,1,1,1,2,2,1,1,1,5,4,5,1,4,4,1,4,5,5,3,4,4,4,4,4,2,6,1,4,2,1,4,9,2,3,4,4,2,4,5.768320996,4,1
5236,1,0,0,2,2,1,2,1,2,1,3,2,1,2,2,3,2,3,3,2,2,3,3,2,3,4,2,3,1,3,4,2,1,9,2,0,4,0,2,0,5.501258211,3,3
5237,1,0,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,4,3,1,3,1,3,2,3,3,6,2,1,2,3,5,1,8,1,11,5,1,1,1,5.686975356,3,1
5244,1,0,2,1,1,2,2,1,2,1,2,3,1,2,1,4,1,3,2,2,2,4,3,1,4,4,1,3,1,2,2,6,3,9,2,30,0,4,2,4,5.272999559,2,4
5245,1,0,1,1,1,1,2,2,1,1,3,3,3,2,3,3,1,3,3,2,3,3,4,3,3,3,1,2,3,1,2,3,1,10,1,0,1,0,3,0,5.978885765,4,3
